n_inmueble;area;cuartos;aseos;precio;distrito;n_school;dist_nearest_school;n_hospital;dist_nearest_hosp;n_malls;dist_nearest_mall;n_rest;dist_nearest_rest;n_supermarket;dist_nearest_super;n_bank;dist_nearest_bank
97;111.0;2.0;2.0;250000.0;Miraflores;39;0.19409486232591544;9;0.3347168088332197;7;0.08419226182581163;60;0.035254371282983976;7;0.2898289898865927;25;0.1386385071882593
98;145.0;3.0;3.0;370000.0;San Isidro;30;0.14044897549938878;1;0.6772221885577393;20;0.021054019110316857;60;0.04745778609365493;3;0.09893733522289336;34;0.10031769063658562
99;216.0;3.0;4.0;690000.0;Barranco;52;0.06540570370968808;7;0.2442637842020204;7;0.3666420406256733;60;0.1380875488050788;1;0.2259869228172662;12;0.05057842482697271
100;145.0;4.0;2.0;320000.0;Miraflores;25;0.279982443805407;6;0.14965860500694847;28;0.09038955234673776;60;0.13838222407063408;3;0.14660456370025216;20;0.24293295051467545
101;204.0;3.0;2.0;288728.0;Chorrillos;45;0.15416933309531616;9;0.2877626124704418;8;0.2333460836966048;60;0.0610299504249052;3;0.4783667705304911;9;0.4724275222437662
102;388.0;3.0;5.0;850000.0;Barranco;53;0.02458416286933409;7;0.2725513134629305;7;0.3474737842622461;60;0.1135917395451482;1;0.2151979248846136;12;0.09550501691259668
103;316.0;3.0;3.0;780000.0;San Isidro;36;0.04838588037550752;8;0.31587906381138536;6;0.2039030988880363;44;0.15188779054517546;1;0.5190376716664964;28;0.05420154676880943
104;216.0;3.0;5.0;690000.0;Barranco;53;0.030916684780914264;7;0.2704822824361533;7;0.3522188422781165;60;0.1185459734318546;1;0.21875073860156585;12;0.0896670318453455
105;106.0;2.0;3.0;200000.0;Magdalena del Mar;45;0.12768829123764033;13;0.14862165695547538;10;0.11880080112148544;44;0.06850722133457174;2;0.305458661648538;24;0.03450600949473805
106;264.0;4.0;4.5;520000.0;Miraflores;45;0.06509066974471346;10;0.2129663603641089;18;0.2487821521339185;60;0.16798948057319074;4;0.2998608198272885;28;0.4100121085887684
107;61.0;2.0;2.0;99000.0;San Miguel;40;0.009535946217754764;3;0.20179651831793546;3;0.12314790931285335;57;0.12053984083470548;6;0.2857616811278157;1;0.03251241268732873
108;668.0;4.0;4.0;2800000.0;Barranco;60;1.3829906075911351e-12;7;0.14018691609288622;9;0.12658543989351242;60;1.3829906075911351e-12;5;0.21222278681094112;14;0.0420563397507221
109;348.0;4.0;4.5;725300.0;Miraflores;19;0.02227459106418461;7;0.11597756502620173;3;0.28371878064810896;60;0.13981211451600312;5;0.3024069550738165;7;0.1984150519153789
110;348.0;4.0;4.5;725300.0;Miraflores;16;0.18057171206859296;9;0.18553698477158076;1;0.2275969750591857;60;0.15507220347614886;5;0.14798261910476634;6;0.4087524578174923
111;120.0;2.0;4.0;348000.0;San Isidro;22;0.2310386550809352;6;0.3959866128489818;0;0.7599558839005675;24;0.2033542144669424;2;0.2549635126118634;7;0.2790627568689111
