n_inmuebles;titulo;distrito;area;cuartos;aseos;latitud;longitud;precio;
158;Departamento en Venta Bajada Agua Dulce, Chorrillos, Lima;Chorrillos;159.0;3.0;3.0;-12.163771;-77.02343;239000.0;
159;Departamento en Venta Av. Ricardo Palma, Miraflores, Lima;Miraflores;106.0;3.0;2.0;-12.123288048407755;-77.01758868410036;249000.0;
160;Departamento en Venta Jr. Ramon Castilla, San Miguel, Lima;San Miguel;80.0;3.0;2.0;-12.0828748;-77.07873799999999;115000.0;
161;Departamento en Venta Av.  Reynaldo Vivanco, Santiago De Surco, Lima;Santiago de Surco;360.0;3.0;3.0;-12.118755915891152;-76.98139767934572;690000.0;
162;Departamento en Venta Monte Claro, Santiago De Surco, Lima;Santiago de Surco;139.0;3.0;3.0;-12.111661199999999;-76.98291319999998;290000.0;
163;Departamento en Venta Calle Triana Esquina Santa Cruz, Miraflores, Lima;Miraflores;337.0;3.0;3.0;-12.115236197309908;-77.04072015078738;782245.0;
164;Departamento en Venta Calle Gabriel Chariarse, Miraflores, Lima;Miraflores;95.0;2.0;2.0;-12.1280367;-77.02089739999997;199000.0;
165;Departamento en Venta Av. General Pezet, San Isidro, Lima;San Isidro;407.0;3.0;3.0;-12.10226217743748;-77.04426017344969;2400000.0;
166;Departamento en Venta Jacinto Lara, San Isidro, Lima;San Isidro;285.0;3.0;5.0;-12.1071525;-77.04611659999999;1152850.0;
167;Departamento en Venta Calle Triana Esquina Santa Cruz, Miraflores, Lima;Miraflores;184.0;3.0;2.0;-12.115131298513004;-77.04069869311526;569873.0;
168;Departamento en Venta Calle Renan Elias, San Isidro, Lima;San Isidro;334.0;3.0;3.0;-12.104214761245627;-77.0492093767212;1600000.0;
169;Departamento en Venta Calle El Diamante, Santiago De Surco, Lima;Santiago de Surco;169.0;3.0;4.0;-12.0853076;-76.9616345;538000.0;
170;Departamento en Venta Jr. Macchu Picchu, La Molina, Lima;La Molina;165.0;4.0;3.0;-12.110678216704795;-76.93954656347654;205000.0;
171;Departamento en Venta Cuzco, La Molina, Lima;La Molina;260.0;3.0;3.0;-12.068832349436395;-76.94530273853151;260000.0;
172;Departamento en Venta General Muñiz, San Isidro, Lima;San Isidro;380.0;3.0;4.0;-12.102730439989516;-77.04466198095093;1600000.0;
173;Departamento en Venta Av. Jorge Basadre, San Isidro, Lima;San Isidro;240.0;3.0;3.0;-12.095797651240805;-77.04436985822753;595000.0;
174;Departamento en Venta Av. Vanderghen, Miraflores, Lima;Miraflores;224.0;3.0;4.0;-12.110656;-77.0400363;550000.0;
175;Departamento en Venta Av. Cerros De Camacho, Santiago De Surco, Lima;Santiago de Surco;260.0;3.0;4.0;-12.0854633;-76.96188330000003;470000.0;
176;Departamento en Venta Calle Triana Esquina Santa Cruz, Miraflores, Lima;Miraflores;108.0;1.0;1.0;-12.115152278275676;-77.04072015078738;334056.0;
